iter	RMSE
0	106.4380097
1	104.2717764
2	102.2768709
3	100.2122594
4	98.16760439
5	96.17589021
6	94.26499099
7	92.41439462
8	90.57186983
9	88.80652508
10	87.0660933
11	85.4115256
12	83.79567543
13	82.23411124
14	80.71133869
15	79.25465893
16	77.80212653
17	76.39239087
18	75.17391023
19	73.84986218
20	72.65190965
21	71.36795794
22	70.15437151
23	68.97343174
24	67.82960948
25	66.74978838
26	65.67722903
27	64.61784631
28	63.69015073
29	62.81968295
30	61.84240776
31	60.94896215
32	60.05215347
33	59.25461477
34	58.47377208
35	57.6523796
36	56.8712269
37	56.11778612
38	55.37554053
39	54.68027164
40	53.98349041
41	53.31039749
42	52.66600901
43	52.10947774
44	51.51032003
45	50.92907785
46	50.37236875
47	49.8460474
48	49.32078509
49	48.81781404
50	48.37861777
51	47.92017254
52	47.4532734
53	47.01044657
54	46.58746808
55	46.17863308
56	45.83933462
57	45.45676111
58	45.1140043
59	44.75754347
60	44.39609012
61	44.07769317
62	43.77060957
63	43.46403847
64	43.17625679
65	42.92637528
66	42.65267737
67	42.40638317
68	42.14935386
69	41.90362743
70	41.69228764
71	41.48233451
72	41.25632346
73	41.08501323
74	40.88908625
75	40.68676628
76	40.50278518
77	40.29372421
78	40.10835544
79	39.95299808
80	39.8082153
81	39.65455993
82	39.49186021
83	39.34598794
84	39.21043455
85	39.05890373
86	38.94649488
87	38.80875358
88	38.67981321
89	38.52896363
90	38.39672501
91	38.28467669
92	38.15398664
93	38.04366113
94	37.93148686
95	37.83488781
96	37.72401818
97	37.63309055
98	37.53346723
99	37.43407912
100	37.34848109
101	37.26574514
102	37.19036619
103	37.10269947
104	37.03821902
105	36.96413981
106	36.90274039
107	36.81943815
108	36.73729022
109	36.64738705
110	36.56299902
111	36.47765
112	36.40571125
113	36.34654787
114	36.29266238
115	36.21919359
116	36.17396705
117	36.13143341
118	36.0803725
119	36.0125599
120	35.96119036
121	35.88817302
122	35.84527587
123	35.7864802
124	35.75066556
125	35.70634688
126	35.64287442
127	35.58280615
128	35.55219457
129	35.51869802
130	35.46795517
131	35.3977866
132	35.36217757
133	35.30582932
134	35.24909687
135	35.20450773
136	35.1847674
137	35.16149698
138	35.12346659
139	35.08600393
140	35.04979419
141	35.001141
142	34.94335113
143	34.88652557
144	34.82088765
145	34.77355724
146	34.73403187
147	34.6936947
148	34.67656836
149	34.6234561
150	34.59852803
151	34.58385744
152	34.52998105
153	34.49642875
154	34.44378388
155	34.39955968
156	34.35627432
157	34.32201001
158	34.28830742
159	34.26443252
160	34.2479468
161	34.23017684
162	34.20950547
163	34.18321731
164	34.15711858
165	34.11590092
166	34.11264755
167	34.06235487
168	34.0214475
169	33.98108568
170	33.93968679
171	33.92001615
172	33.89258623
173	33.86682911
174	33.85525167
175	33.81714087
176	33.80490479
177	33.79207267
178	33.77463197
179	33.74584159
180	33.71131143
181	33.69175698
182	33.67584271
183	33.63445733
184	33.62217806
185	33.58847963
186	33.54825792
187	33.53276074
