iter	Passed	Remaining
0	1	2107
1	2	1700
2	3	1578
3	5	1500
4	6	1463
5	7	1430
6	8	1430
7	9	1370
8	10	1364
9	11	1351
10	12	1346
11	13	1346
12	14	1342
13	15	1343
14	16	1342
15	17	1307
16	18	1312
17	20	1314
18	21	1316
19	22	1318
20	23	1323
21	24	1329
22	26	1331
23	27	1331
24	28	1331
25	29	1338
26	30	1339
27	32	1341
28	33	1342
29	34	1348
30	35	1347
31	36	1346
32	38	1347
33	39	1342
34	40	1345
35	41	1352
36	43	1359
37	44	1368
38	46	1373
39	47	1376
40	48	1379
41	50	1391
42	51	1398
43	53	1406
44	55	1412
45	56	1413
46	57	1412
47	58	1413
48	60	1413
49	61	1414
50	62	1415
51	64	1418
52	65	1418
53	66	1419
54	68	1420
55	69	1422
56	70	1421
57	72	1423
58	73	1423
59	74	1421
60	76	1421
61	77	1422
62	78	1425
63	80	1424
64	81	1424
65	82	1423
66	84	1422
67	85	1421
68	86	1419
69	87	1417
70	88	1414
71	90	1411
72	91	1411
73	92	1408
74	93	1406
75	95	1406
76	97	1420
77	98	1420
78	100	1427
79	102	1439
80	103	1435
81	105	1444
82	107	1451
83	109	1458
84	111	1464
85	114	1481
86	116	1486
87	118	1492
88	119	1495
89	121	1498
90	123	1501
91	125	1507
92	126	1510
93	129	1520
94	131	1528
95	133	1530
96	135	1535
97	137	1540
98	139	1555
99	142	1566
100	144	1568
101	145	1571
102	147	1573
103	149	1577
104	151	1580
105	153	1583
106	155	1585
107	156	1582
108	157	1578
109	158	1574
110	160	1570
111	161	1566
112	162	1562
113	163	1559
114	169	1596
115	170	1596
116	172	1593
117	173	1589
118	174	1588
119	176	1585
120	177	1582
121	178	1579
122	180	1576
123	181	1574
124	182	1572
125	184	1569
126	185	1567
127	186	1563
128	187	1560
129	189	1557
130	190	1553
131	191	1550
132	192	1547
133	194	1544
134	195	1543
135	196	1540
136	198	1537
137	199	1534
138	200	1531
139	201	1529
140	203	1527
141	204	1524
142	205	1521
143	207	1518
144	208	1516
145	209	1514
146	211	1513
147	212	1511
148	213	1508
149	215	1505
150	216	1503
151	217	1499
152	218	1496
153	219	1493
154	221	1490
155	222	1487
156	223	1484
157	224	1482
158	225	1479
159	227	1476
160	228	1473
161	229	1470
162	230	1468
163	232	1465
164	233	1462
165	234	1459
166	234	1452
167	235	1449
168	237	1447
169	238	1444
170	239	1442
171	240	1440
172	242	1438
173	243	1435
174	244	1433
175	245	1430
176	247	1428
177	248	1426
178	249	1423
179	250	1420
180	251	1418
181	253	1416
182	254	1414
183	255	1413
184	257	1410
185	258	1408
186	259	1406
187	260	1403
188	261	1400
189	263	1398
190	264	1395
191	265	1392
192	266	1390
193	267	1388
194	268	1386
195	270	1383
196	271	1381
197	272	1378
198	273	1373
199	274	1371
200	275	1369
201	276	1366
202	277	1364
203	278	1360
204	279	1358
205	280	1355
206	282	1356
207	283	1354
208	285	1354
209	287	1354
210	288	1353
211	290	1354
212	292	1353
213	293	1353
214	295	1353
215	297	1354
216	299	1354
217	301	1358
218	304	1362
219	306	1365
220	309	1372
221	315	1390
222	318	1396
223	323	1410
224	326	1412
225	328	1414
226	330	1415
227	333	1419
228	336	1425
229	338	1425
